experiment_no,experiment_id,generated_at,dataset_fingerprint,champion_before,challenger_id,challenger_config_json,dev_champion_exact_nll,dev_challenger_exact_nll,dev_improvement,folds_won,worst_fold_regression,confirmation_run,confirmation_passed,audit_champion_exact_nll,audit_challenger_exact_nll,audit_improvement_report_only,decision,reason,champion_after,eval_version,fold_count,bootstrap_probability,experiments_since_last_promotion,search_mode,meta_search_strategy,meta_model_rows,meta_predicted_nll,meta_uncertainty,candidate_pool_size,alpha_spending_threshold
1,exp-0000001-d1b3cd2c9775,2026-08-22T12:14:24+09:00,d00cd33771798e2fda3b,champ-b7f02f6a077e,chal-d1b3cd2c9775,"{""evolution_rate"": 0.7, ""frequency_profile"": ""default"", ""half_life_draws"": 1500, ""lr_c"": 0.25, ""markov_blend"": 0.65, ""random_state"": 42, ""top_k"": 20, ""transition_window"": 1000, ""tree_estimators"": 320, ""tree_min_leaf"": 8, ""validation_draws"": 1000, ""weight_temperature"": 0.02}",6.914998166489912,6.915058592342773,-6.042585286092361e-05,2,0.0014351759642297,False,False,6.916760893010352,6.9169636782112685,-0.0002027852009165,REJECTED,rejected: development improvement/consistency threshold not met,champ-b7f02f6a077e,,,,,,,,,,,
2,exp-0000002-719038cb9a39,2026-08-22T12:14:35+09:00,d00cd33771798e2fda3b,champ-b7f02f6a077e,chal-719038cb9a39,"{""evolution_rate"": 0.7, ""frequency_profile"": ""default"", ""half_life_draws"": 1500, ""lr_c"": 1.0, ""markov_blend"": 0.65, ""random_state"": 42, ""top_k"": 20, ""transition_window"": 1000, ""tree_estimators"": 240, ""tree_min_leaf"": 12, ""validation_draws"": 1000, ""weight_temperature"": 0.02}",6.914998166489912,6.920096264735295,-0.0050980982453827,0,0.007332852056705,False,False,6.916760893010352,6.916034313027595,0.0007265799827571,REJECTED,rejected: development improvement/consistency threshold not met,champ-b7f02f6a077e,,,,,,,,,,,
3,exp-0000003-99e4bbaa0333,2026-08-22T12:14:45+09:00,d00cd33771798e2fda3b,champ-b7f02f6a077e,chal-99e4bbaa0333,"{""evolution_rate"": 0.7, ""frequency_profile"": ""recent"", ""half_life_draws"": 1500, ""lr_c"": 0.25, ""markov_blend"": 0.65, ""random_state"": 42, ""top_k"": 20, ""transition_window"": 1000, ""tree_estimators"": 240, ""tree_min_leaf"": 8, ""validation_draws"": 1000, ""weight_temperature"": 0.04}",6.914998166489912,6.919512092390708,-0.0045139259007953,0,0.0084364024519265,False,False,6.916760893010352,6.922305346675036,-0.005544453664684,REJECTED,rejected: development improvement/consistency threshold not met,champ-b7f02f6a077e,,,,,,,,,,,
4,exp-0000004-ffe790fb5808,2026-08-22T12:14:51+09:00,d00cd33771798e2fda3b,champ-b7f02f6a077e,chal-ffe790fb5808,"{""evolution_rate"": 0.7, ""frequency_profile"": ""balanced"", ""half_life_draws"": 2000, ""lr_c"": 0.1, ""markov_blend"": 0.65, ""random_state"": 42, ""top_k"": 20, ""transition_window"": 1000, ""tree_estimators"": 240, ""tree_min_leaf"": 8, ""validation_draws"": 1000, ""weight_temperature"": 0.02}",6.914998166489912,6.922083019610429,-0.0070848531205163,0,0.0121650812153051,False,False,6.916760893010352,6.914047052565318,0.0027138404450335,REJECTED,rejected: development improvement/consistency threshold not met,champ-b7f02f6a077e,,,,,,,,,,,
5,exp-0000005-90ef94a31b7e,2026-08-22T12:14:59+09:00,d00cd33771798e2fda3b,champ-b7f02f6a077e,chal-90ef94a31b7e,"{""evolution_rate"": 0.55, ""frequency_profile"": ""recent"", ""half_life_draws"": 1500, ""lr_c"": 0.25, ""markov_blend"": 0.65, ""random_state"": 42, ""top_k"": 20, ""transition_window"": 1000, ""tree_estimators"": 240, ""tree_min_leaf"": 8, ""validation_draws"": 1000, ""weight_temperature"": 0.02}",6.914998166489912,6.914417475238076,0.0005806912518364,2,0.0006122786683615,False,False,6.916760893010352,6.918576603752876,-0.001815710742524,REJECTED,rejected: development improvement/consistency threshold not met,champ-b7f02f6a077e,,,,,,,,,,,
6,exp-0000006-004dc1a8c0f0,2026-08-22T12:15:08+09:00,d00cd33771798e2fda3b,champ-b7f02f6a077e,chal-004dc1a8c0f0,"{""evolution_rate"": 0.7, ""frequency_profile"": ""default"", ""half_life_draws"": 1500, ""lr_c"": 0.25, ""markov_blend"": 0.65, ""random_state"": 42, ""top_k"": 20, ""transition_window"": 1000, ""tree_estimators"": 180, ""tree_min_leaf"": 12, ""validation_draws"": 1000, ""weight_temperature"": 0.02}",6.914998166489912,6.920554551417822,-0.0055563849279094,0,0.0101451370218459,False,False,6.916760893010352,6.916795926852776,-3.5033842423537465e-05,REJECTED,rejected: development improvement/consistency threshold not met,champ-b7f02f6a077e,,,,,,,,,,,
7,exp-0000007-eba66704d015,2026-08-22T12:15:18+09:00,d00cd33771798e2fda3b,champ-b7f02f6a077e,chal-eba66704d015,"{""evolution_rate"": 0.7, ""frequency_profile"": ""default"", ""half_life_draws"": 1500, ""lr_c"": 0.25, ""markov_blend"": 0.65, ""random_state"": 42, ""top_k"": 20, ""transition_window"": 500, ""tree_estimators"": 240, ""tree_min_leaf"": 4, ""validation_draws"": 1000, ""weight_temperature"": 0.02}",6.914998166489912,6.92510985539337,-0.010111688903458,0,0.0176503364252651,False,False,6.916760893010352,6.920474122850485,-0.003713229840133,REJECTED,rejected: development improvement/consistency threshold not met,champ-b7f02f6a077e,,,,,,,,,,,
8,exp-0000008-cce4497f4bf2,2026-08-22T12:15:28+09:00,d00cd33771798e2fda3b,champ-b7f02f6a077e,chal-cce4497f4bf2,"{""evolution_rate"": 0.7, ""frequency_profile"": ""default"", ""half_life_draws"": 1500, ""lr_c"": 0.5, ""markov_blend"": 0.65, ""random_state"": 42, ""top_k"": 20, ""transition_window"": 1000, ""tree_estimators"": 240, ""tree_min_leaf"": 8, ""validation_draws"": 1000, ""weight_temperature"": 0.02}",6.914998166489912,6.914965273918871,3.2892571041109875e-05,2,1.1092813788415867e-05,False,False,6.916760893010352,6.9188499999414015,-0.0020891069310495,REJECTED,rejected: development improvement/consistency threshold not met,champ-b7f02f6a077e,,,,,,,,,,,
9,exp-0000009-5c4ebf8f035b,2026-08-22T12:15:46+09:00,d00cd33771798e2fda3b,champ-b7f02f6a077e,chal-5c4ebf8f035b,"{""evolution_rate"": 0.7, ""frequency_profile"": ""default"", ""half_life_draws"": 1500, ""lr_c"": 0.5, ""markov_blend"": 0.65, ""random_state"": 42, ""top_k"": 20, ""transition_window"": 1000, ""tree_estimators"": 240, ""tree_min_leaf"": 8, ""validation_draws"": 1000, ""weight_temperature"": 0.01}",6.915115041709688,6.91301272113604,0.0021023205736483,2,0.0039305153691282,True,True,6.916760893010352,6.919173646423948,-0.002412753413596,PROMOTED,development folds improved on primary and confirmation seeds; final audit was not used for promotion,champ-5c4ebf8f035b,,,,,,,,,,,
10,exp-0000010-f4ebd4f36bab,2026-08-22T12:17:01+09:00,d00cd33771798e2fda3b,champ-5c4ebf8f035b,chal-f4ebd4f36bab,"{""evolution_rate"": 0.55, ""frequency_profile"": ""default"", ""half_life_draws"": 1000, ""lr_c"": 0.5, ""markov_blend"": 0.65, ""random_state"": 42, ""top_k"": 20, ""transition_window"": 1000, ""tree_estimators"": 240, ""tree_min_leaf"": 8, ""validation_draws"": 1000, ""weight_temperature"": 0.01}",6.91314930508815,6.924755322029347,-0.0116060169411973,0,0.0140770486597325,False,False,6.919173646423948,6.92157378686032,-0.0024001404363724,REJECTED,rejected: development improvement/consistency threshold not met,champ-5c4ebf8f035b,,,,,,,,,,,
